Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,1345|1396|1333|1314|1258|1354|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1345|1396|1333|1314|1258|1354|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1345|1396|1333|1314|2612|,0|0|0|0|0|0|,46990|942|950|912|885|1815|,0|0|0|0|0|0|,7233|141|132|109|124|261|,0|0|0|0|0|0|,0|0|0|0|0|0|,7233|141|132|109|124|261|,0|0|0|0|0|0|,0|0|0|0|0|0|,7076|139|129|104|123|254|,3544|5|6|8|7|221|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,3532|134|123|96|116|33|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3532|134|123|96|116|33|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3532|134|123|96|149|,0|0|0|0|0|0|,4220|2429|106|99|84|129|,0|0|0|0|0|0|,4102|2349|102|97|81|127|,0|0|0|0|0|0|,0|0|0|0|0|0|,4102|2349|102|97|81|127|,0|0|0|0|0|0|,0|0|0|0|0|0|,4102|2349|102|97|81|127|,2022|122|3|10|4|109|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,2080|2227|99|87|77|18|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2080|2227|99|87|77|18|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2080|2227|99|87|95|,0|0|0|0|0|0|,23210|1519|1874|88|69|84|,0|0|0|0|0|0|,7587|508|617|24|23|34|,0|0|0|0|0|0|,0|0|0|0|0|0|,7587|508|617|24|23|34|,0|0|0|0|0|0|,0|0|0|0|0|0|,6920|455|556|21|22|26|,3473|26|29|1|1|21|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,3447|429|527|20|21|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3447|429|527|20|21|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3447|429|527|20|26|,0|0|0|0|0|0|,7960|2697|383|459|17|22|,0|0|0|0|0|0|,5657|1922|263|313|13|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,5657|1922|263|313|13|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,5495|1859|258|302|13|16|,2697|99|8|18|2|15|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,2798|1760|250|284|11|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2798|1760|250|284|11|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2798|1760|250|284|12|,0|0|0|0|0|0|,20150|2184|1511|220|251|11|,0|0|0|0|0|0|,7400|827|568|78|98|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,7400|827|568|78|98|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,6603|737|503|70|83|4|,3312|35|29|1|8|4|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,3291|702|474|69|75|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3291|702|474|69|75|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3291|702|474|69|75|,0|0|0|0|0|0|,10190|2602|598|408|62|61|,0|0|0|0|0|0|,6180|1506|336|253|31|29|,0|0|0|0|0|0|,0|0|0|0|0|0|,6180|1506|336|253|31|29|,0|0|0|0|0|0|,0|0|0|0|0|0|,5931|1441|315|241|26|27|,2901|81|17|8|1|23|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,3030|1360|298|233|25|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3030|1360|298|233|25|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3030|1360|298|233|29|,0|0|0|0|0|0|,16650|2412|1182|255|206|24|,0|0|0|0|0|0|,6854|1043|510|115|82|14|,0|0|0|0|0|0|,0|0|0|0|0|0|,6854|1043|510|115|82|14|,0|0|0|0|0|0|,0|0|0|0|0|0|,6352|972|470|105|77|13|,3235|47|15|5|5|12|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,3117|925|455|100|72|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3117|925|455|100|72|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3117|925|455|100|73|,0|0|0|0|0|0|,13320|2555|817|402|85|64|,0|0|0|0|0|0|,6464|1257|420|210|45|34|,0|0|0|0|0|0|,0|0|0|0|0|0|,6464|1257|420|210|45|34|,0|0|0|0|0|0|,0|0|0|0|0|0|,6110|1207|401|196|41|32|,3046|64|27|8|4|27|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,3064|1143|374|188|37|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3064|1143|374|188|37|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3064|1143|374|188|42|,0|0|0|0|0|0|,14150|2490|972|330|168|36|,0|0|0|0|0|0|,6752|1190|436|163|72|14|,0|0|0|0|0|0|,0|0|0|0|0|0|,6752|1190|436|163|72|14|,0|0|0|0|0|0|,0|0|0|0|0|0|,6253|1107|406|154|66|14|,3121|51|24|8|4|13|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,3132|1056|382|146|62|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3132|1056|382|146|62|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3132|1056|382|146|63|,0|0|0|0|0|0|,13880|2572|908|332|122|56|,0|0|0|0|0|0|,6790|1287|419|160|52|21|,0|0|0|0|0|0|,0|0|0|0|0|0|,6790|1287|419|160|52|21|,0|0|0|0|0|0|,0|0|0|0|0|0|,6223|1177|383|149|48|20|,3095|69|22|5|5|17|,0|0|0|0|0|0|
10,0|1|2|3|4|5|,3128|1108|361|144|43|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3128|1108|361|144|43|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3128|1108|361|144|46|,0|0|0|0|0|0|,13120|2581|953|319|126|44|,0|0|0|0|0|0|,6760|1224|461|147|54|19|,0|0|0|0|0|0|,0|0|0|0|0|0|,6760|1224|461|147|54|19|,0|0|0|0|0|0|,0|0|0|0|0|0|,6241|1128|423|139|51|18|,3158|64|20|9|4|15|,0|0|0|0|0|0|
11,0|1|2|3|4|5|,3083|1064|403|130|47|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3083|1064|403|130|47|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3083|1064|403|130|50|,0|0|0|0|0|0|,13520|2578|922|360|117|43|,0|0|0|0|0|0|,6826|1294|459|194|62|24|,0|0|0|0|0|0|,0|0|0|0|0|0|,6826|1294|459|194|62|24|,0|0|0|0|0|0|,0|0|0|0|0|0|,6157|1171|409|176|56|24|,3163|63|24|8|0|22|,0|0|0|0|0|0|
12,0|1|2|3|4|5|,2994|1108|385|168|56|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2994|1108|385|168|56|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2994|1108|385|168|58|,0|0|0|0|0|0|,14620|2537|981|341|149|53|,0|0|0|0|0|0|,6907|1127|472|155|61|20|,0|0|0|0|0|0|,0|0|0|0|0|0|,6907|1127|472|155|61|20|,0|0|0|0|0|0|,0|0|0|0|0|0|,6312|1041|436|142|52|17|,3133|50|23|11|4|15|,0|0|0|0|0|0|
13,0|1|2|3|4|5|,3179|991|413|131|48|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3179|991|413|131|48|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3179|991|413|131|50|,0|0|0|0|0|0|,13710|2693|878|362|120|45|,0|0|0|0|0|0|,6556|1305|417|165|50|19|,0|0|0|0|0|0|,0|0|0|0|0|0|,6556|1305|417|165|50|19|,0|0|0|0|0|0|,0|0|0|0|0|0|,6166|1220|392|155|49|18|,3051|58|12|5|4|13|,0|0|0|0|0|0|
