PatchID,XCOORD,YCOORD,ID,MID,FID,sex,age,size,mature,newmature,layeggs,capture,recapture,infection,CDist,Hindex,Species,ClassFile,SubPatchID,L0A0,L0A1,L1A0,L1A1
1,43.908878,-122.157688,ID1_F1_m1f4_P1_Y119_UO5625,ID1_F2_m8f7_P8_Y117_UO5823,ID4_F9_m3f6_P3_Y116_UO5042,FXX,1,0.0,1,0,1.0,0,0,0,-9999.0,0.5967525325603815,1,P0_CV0,1,0,2,1,1
1,43.908878,-122.157688,ID1_F3_m3f4_P3_Y119_UO5407,ID3_F1_m3f3_P3_Y116_UO3909,ID4_F1_m16f8_P16_Y117_UO4519,FXX,1,0.0,1,0,1.0,0,0,0,-9999.0,0.5967525331625847,1,P0_CV0,1,0,2,1,1
1,43.908878,-122.157688,ID1_F11_m11f7_P11_Y119_UO3122,ID11_F9_m5f7_P5_Y117_UO913,ID7_F2_m2f13_P2_Y118_UO4222,FXX,1,0.0,1,0,1.0,0,0,0,-9999.0,0.5967525323905473,1,P0_CV0,1,0,2,2,0
1,43.908878,-122.157688,ID1_F12_m12f14_P12_Y119_UO4844,ID12_F5_m9f13_P9_Y117_UO4283,ID14_F12_m12f5_P12_Y118_UO1433,MXY,1,0.0,1,0,0.0,0,0,0,-9999.0,0.5967525334594206,1,P0_CV0,1,0,2,1,1
1,43.908878,-122.157688,ID1_F14_m14f15_P14_Y119_UO2888,ID14_F3_m1f16_P1_Y115_UO5807,ID15_F2_m2f2_P2_Y118_UO2024,FXX,1,0.0,1,0,1.0,0,0,0,-9999.0,0.5967525331474387,1,P0_CV0,1,0,2,1,1
1,43.908878,-122.157688,ID1_F9_m8f4_P8_Y118_UO5599,ID8_F16_m2f4_P2_Y115_UO2924,ID4_F11_m11f5_P11_Y113_UO6329,MXY,2,0.0,1,0,0.0,0,0,0,-9999.0,0.596752532262536,1,P0_CV0,1,0,2,1,1
1,43.908878,-122.157688,ID1_F10_m8f1_P8_Y118_UO2401,ID8_F1_m9f7_P9_Y115_UO3140,ID1_F2_m2f8_P2_Y117_UO366,FXX,2,0.0,1,0,1.0,0,0,0,-9999.0,0.5967525338902718,1,P0_CV0,1,0,2,2,0
1,43.908878,-122.157688,ID1_F12_m1f4_P1_Y118_UO912,ID1_F5_m13f7_P13_Y116_UO5678,ID4_F6_m6f16_P6_Y117_UO5540,FXX,2,0.0,1,0,1.0,0,0,0,-9999.0,0.5967525330318915,1,P0_CV0,1,1,1,2,0
1,43.908878,-122.157688,ID1_F13_m5f14_P5_Y118_UO3698,ID5_F11_m1f4_P1_Y115_UO1216,ID14_F6_m4f4_P4_Y115_UO1683,FXX,2,0.0,1,0,1.0,0,0,0,-9999.0,0.5967525346659905,1,P0_CV0,1,0,2,1,1
1,43.908878,-122.157688,ID1_F15_m16f3_P16_Y117_UO3148,ID16_F10_m16f13_P16_Y115_UO5687,ID3_F4_m4f7_P4_Y116_UO3970,MXY,3,0.0,1,0,0.0,0,0,0,-9999.0,0.5967525298124702,1,P0_CV0,1,0,2,0,2
1,43.908878,-122.157688,ID1_F1_m1f14_P1_Y119_UO5548,ID1_F7_m3f12_P3_Y116_UO4083,ID14_F5_m11f6_P11_Y117_UO1569,FXX,1,0.0,1,0,1.0,0,0,0,-9999.0,0.5967525311157176,1,P11_CV0,1,0,2,1,1
