Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,1379|1286|1351|1328|1346|1310|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1379|1286|1351|1328|1346|1310|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1379|1286|1351|1328|2656|,0|0|0|0|0|0|,40670|918|847|881|883|1758|,0|0|0|0|0|0|,6201|144|141|130|121|266|,0|0|0|0|0|0|,0|0|0|0|0|0|,6201|144|141|130|121|266|,0|0|0|0|0|0|,0|0|0|0|0|0|,6121|144|140|128|119|262|,3045|7|7|8|8|241|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,3076|137|133|120|111|21|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3076|137|133|120|111|21|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3076|137|133|120|132|,0|0|0|0|0|0|,3610|2261|137|133|120|132|,0|0|0|0|0|0|,3440|2175|132|132|115|131|,0|0|0|0|0|0|,0|0|0|0|0|0|,3440|2175|132|132|115|131|,0|0|0|0|0|0|,0|0|0|0|0|0|,3437|2174|132|132|115|131|,1733|107|7|5|5|120|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,1704|2067|125|127|110|11|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1704|2067|125|127|110|11|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1704|2067|125|127|121|,0|0|0|0|0|0|,22660|1446|2067|125|127|121|,0|0|0|0|0|0|,7260|462|678|40|45|32|,0|0|0|0|0|0|,0|0|0|0|0|0|,7260|462|678|40|45|32|,0|0|0|0|0|0|,0|0|0|0|0|0|,5938|398|566|35|35|28|,2900|15|21|1|0|25|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,3038|383|545|34|35|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3038|383|545|34|35|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3038|383|545|34|38|,0|0|0|0|0|0|,7520|2708|383|545|34|38|,0|0|0|0|0|0|,4778|1775|247|333|27|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,4778|1775|247|333|27|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,4617|1727|234|325|27|24|,2281|97|8|14|1|23|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,2336|1630|226|311|26|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2336|1630|226|311|26|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2336|1630|226|311|27|,0|0|0|0|0|0|,18990|2061|1630|226|311|27|,0|0|0|0|0|0|,6796|768|610|86|122|9|,0|0|0|0|0|0|,0|0|0|0|0|0|,6796|768|610|86|122|9|,0|0|0|0|0|0|,0|0|0|0|0|0|,5671|641|508|71|102|7|,2802|42|28|3|7|7|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,2869|599|480|68|95|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2869|599|480|68|95|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2869|599|480|68|95|,0|0|0|0|0|0|,9160|2646|599|480|68|95|,0|0|0|0|0|0|,5197|1505|358|269|42|62|,0|0|0|0|0|0|,0|0|0|0|0|0|,5197|1505|358|269|42|62|,0|0|0|0|0|0|,0|0|0|0|0|0|,4894|1411|345|253|41|56|,2438|60|22|13|5|50|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,2456|1351|323|240|36|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2456|1351|323|240|36|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2456|1351|323|240|42|,0|0|0|0|0|0|,16690|2286|1351|323|240|42|,0|0|0|0|0|0|,6222|853|531|118|92|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,6222|853|531|118|92|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,5565|760|464|107|83|13|,2709|37|21|10|4|13|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,2856|723|443|97|79|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2856|723|443|97|79|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2856|723|443|97|79|,0|0|0|0|0|0|,10920|2715|723|443|97|79|,0|0|0|0|0|0|,5589|1422|344|237|50|42|,0|0|0|0|0|0|,0|0|0|0|0|0|,5589|1422|344|237|50|42|,0|0|0|0|0|0|,0|0|0|0|0|0|,5068|1306|320|219|44|36|,2551|49|12|18|3|31|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,2517|1257|308|201|41|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2517|1257|308|201|41|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2517|1257|308|201|46|,0|0|0|0|0|0|,16270|2404|1257|308|201|46|,0|0|0|0|0|0|,6133|963|501|116|80|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,6133|963|501|116|80|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,5497|870|447|103|70|13|,2713|44|26|3|4|12|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,2784|826|421|100|66|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2784|826|421|100|66|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2784|826|421|100|67|,0|0|0|0|0|0|,11440|2652|826|421|100|67|,0|0|0|0|0|0|,5840|1341|416|219|48|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,5840|1341|416|219|48|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,5185|1189|361|192|44|29|,2572|62|17|10|2|26|,0|0|0|0|0|0|
