Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,1297|1377|1419|1315|1279|1313|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1297|1377|1419|1315|1279|1313|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1297|1377|1419|1315|2592|,0|0|0|0|0|0|,47340|900|926|979|910|1786|,0|0|0|0|0|0|,7178|121|121|148|158|270|,0|0|0|0|0|0|,0|0|0|0|0|0|,7178|121|121|148|158|270|,0|0|0|0|0|0|,0|0|0|0|0|0|,7061|120|119|146|155|269|,3551|4|6|6|6|250|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,3510|116|113|140|149|19|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3510|116|113|140|149|19|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3510|116|113|140|168|,0|0|0|0|0|0|,3690|2393|92|95|112|147|,0|0|0|0|0|0|,3628|2353|90|94|110|146|,0|0|0|0|0|0|,0|0|0|0|0|0|,3628|2353|90|94|110|146|,0|0|0|0|0|0|,0|0|0|0|0|0|,3628|2353|90|94|110|146|,1867|115|2|7|6|133|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,1761|2238|88|87|104|13|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1761|2238|88|87|104|13|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1761|2238|88|87|117|,0|0|0|0|0|0|,22890|1336|1864|82|76|100|,0|0|0|0|0|0|,8259|471|638|24|22|34|,0|0|0|0|0|0|,0|0|0|0|0|0|,8259|471|638|24|22|34|,0|0|0|0|0|0|,0|0|0|0|0|0|,7004|384|539|23|21|29|,3549|17|28|2|0|27|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,3455|367|511|21|21|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3455|367|511|21|21|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3455|367|511|21|23|,0|0|0|0|0|0|,7030|2687|296|446|19|20|,0|0|0|0|0|0|,5476|2044|224|332|17|14|,0|0|0|0|0|0|,0|0|0|0|0|0|,5476|2044|224|332|17|14|,0|0|0|0|0|0|,0|0|0|0|0|0|,5335|1991|218|328|16|13|,2639|94|12|13|0|12|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,2696|1897|206|315|16|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2696|1897|206|315|16|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2696|1897|206|315|17|,0|0|0|0|0|0|,20650|2130|1607|187|279|13|,0|0|0|0|0|0|,7755|812|597|82|107|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,7755|812|597|82|107|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,6635|685|517|70|90|3|,3290|43|16|6|5|2|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,3345|642|501|64|85|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3345|642|501|64|85|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3345|642|501|64|86|,0|0|0|0|0|0|,9520|2621|558|438|58|78|,0|0|0|0|0|0|,5906|1652|337|269|36|49|,0|0|0|0|0|0|,0|0|0|0|0|0|,5906|1652|337|269|36|49|,0|0|0|0|0|0|,0|0|0|0|0|0|,5671|1603|331|258|35|48|,2817|67|18|16|1|42|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,2854|1536|313|242|34|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2854|1536|313|242|34|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2854|1536|313|242|40|,0|0|0|0|0|0|,18200|2275|1317|268|214|32|,0|0|0|0|0|0|,7277|914|505|93|87|15|,0|0|0|0|0|0|,0|0|0|0|0|0|,7277|914|505|93|87|15|,0|0|0|0|0|0|,0|0|0|0|0|0|,6539|832|447|89|78|15|,3266|43|22|4|6|15|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,3273|789|425|85|72|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3273|789|425|85|72|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3273|789|425|85|72|,0|0|0|0|0|0|,11120|2639|692|379|76|64|,0|0|0|0|0|0|,6292|1415|376|205|38|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,6292|1415|376|205|38|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,5999|1357|359|196|35|29|,2953|74|20|11|3|24|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,3046|1283|339|185|32|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3046|1283|339|185|32|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3046|1283|339|185|37|,0|0|0|0|0|0|,16160|2537|1089|306|161|30|,0|0|0|0|0|0|,7101|1075|496|134|67|11|,0|0|0|0|0|0|,0|0|0|0|0|0|,7101|1075|496|134|67|11|,0|0|0|0|0|0|,0|0|0|0|0|0|,6396|965|441|125|62|9|,3202|36|18|2|5|7|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,3194|929|423|123|57|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3194|929|423|123|57|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3194|929|423|123|59|,0|0|0|0|0|0|,13160|2700|812|359|103|51|,0|0|0|0|0|0|,6449|1377|405|188|56|21|,0|0|0|0|0|0|,0|0|0|0|0|0|,6449|1377|405|188|56|21|,0|0|0|0|0|0|,0|0|0|0|0|0|,6090|1287|376|177|50|20|,3004|59|26|6|1|19|,0|0|0|0|0|0|
