Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,1336|1307|1290|1330|1392|1345|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1336|1307|1290|1330|1392|1345|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1336|1307|1290|1330|2737|,0|0|0|0|0|0|,46160|309|326|324|334|684|,0|0|0|0|0|0|,7650|45|61|57|51|127|,0|0|0|0|0|0|,0|0|0|0|0|0|,7650|45|61|57|51|127|,0|0|0|0|0|0|,0|0|0|0|0|0|,7647|45|61|57|51|127|,3780|1|6|1|1|113|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,3867|44|55|56|50|14|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3867|44|55|56|50|14|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3867|44|55|56|64|,0|0|0|0|0|0|,1270|950|44|55|56|64|,0|0|0|0|0|0|,1270|950|44|55|56|64|,0|0|0|0|0|0|,0|0|0|0|0|0|,1270|950|44|55|56|64|,0|0|0|0|0|0|,0|0|0|0|0|0|,1270|950|44|55|56|64|,642|41|2|2|2|56|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,628|909|42|53|54|8|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,628|909|42|53|54|8|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|628|909|42|53|62|,0|0|0|0|0|0|,10310|318|909|42|53|62|,0|0|0|0|0|0|,7036|234|638|29|46|45|,0|0|0|0|0|0|,0|0|0|0|0|0|,7036|234|638|29|46|45|,0|0|0|0|0|0|,0|0|0|0|0|0|,6908|231|625|28|45|45|,3415|8|37|0|0|42|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,3493|223|588|28|45|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3493|223|588|28|45|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3493|223|588|28|48|,0|0|0|0|0|0|,6110|3195|223|588|28|48|,0|0|0|0|0|0|,4669|2594|171|467|21|33|,0|0|0|0|0|0|,0|0|0|0|0|0|,4669|2594|171|467|21|33|,0|0|0|0|0|0|,0|0|0|0|0|0|,4602|2568|170|464|20|33|,2288|117|5|25|0|30|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,2314|2451|165|439|20|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2314|2451|165|439|20|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2314|2451|165|439|23|,0|0|0|0|0|0|,26370|2237|2451|165|439|23|,0|0|0|0|0|0|,7722|712|721|50|139|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,7722|712|721|50|139|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,6601|614|613|42|120|8|,3245|28|19|1|5|7|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,3356|586|594|41|115|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3356|586|594|41|115|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3356|586|594|41|116|,0|0|0|0|0|0|,10620|3331|586|594|41|116|,0|0|0|0|0|0|,5964|1958|323|332|22|64|,0|0|0|0|0|0|,0|0|0|0|0|0|,5964|1958|323|332|22|64|,0|0|0|0|0|0|,0|0|0|0|0|0|,5474|1834|294|319|19|60|,2738|87|14|17|1|54|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,2736|1747|280|302|18|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2736|1747|280|302|18|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2736|1747|280|302|24|,0|0|0|0|0|0|,20700|2731|1747|280|302|24|,0|0|0|0|0|0|,7287|994|589|119|102|6|,0|0|0|0|0|0|,0|0|0|0|0|0|,7287|994|589|119|102|6|,0|0|0|0|0|0|,0|0|0|0|0|0|,6392|879|527|98|95|6|,3196|34|35|5|3|6|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,3196|845|492|93|92|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3196|845|492|93|92|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3196|845|492|93|92|,0|0|0|0|0|0|,13260|3195|845|492|93|92|,0|0|0|0|0|0|,6429|1582|398|240|44|55|,0|0|0|0|0|0|,0|0|0|0|0|0|,6429|1582|398|240|44|55|,0|0|0|0|0|0|,0|0|0|0|0|0|,5827|1477|370|232|43|51|,2846|68|15|10|3|42|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,2981|1409|355|222|40|9|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2981|1409|355|222|40|9|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2981|1409|355|222|49|,0|0|0|0|0|0|,16890|2981|1409|355|222|49|,0|0|0|0|0|0|,6807|1261|560|153|104|17|,0|0|0|0|0|0|,0|0|0|0|0|0|,6807|1261|560|153|104|17|,0|0|0|0|0|0|,0|0|0|0|0|0|,6105|1149|501|132|96|15|,3044|53|26|11|2|14|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,3061|1096|475|121|94|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3061|1096|475|121|94|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3061|1096|475|121|95|,0|0|0|0|0|0|,14620|3061|1096|475|121|95|,0|0|0|0|0|0|,6364|1468|502|223|55|44|,0|0|0|0|0|0|,0|0|0|0|0|0|,6364|1468|502|223|55|44|,0|0|0|0|0|0|,0|0|0|0|0|0|,5871|1359|467|205|52|44|,2950|75|27|7|3|41|,0|0|0|0|0|0|
