Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,1389|1330|1309|1345|1318|1309|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1389|1330|1309|1345|1318|1309|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1389|1330|1309|1345|2627|,0|0|0|0|0|0|,44770|335|319|329|320|659|,0|0|0|0|0|0|,7652|61|47|57|58|123|,0|0|0|0|0|0|,0|0|0|0|0|0|,7652|61|47|57|58|123|,0|0|0|0|0|0|,0|0|0|0|0|0|,7648|61|47|56|58|123|,3769|5|4|2|1|116|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,3879|56|43|54|57|7|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3879|56|43|54|57|7|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3879|56|43|54|64|,0|0|0|0|0|0|,1520|897|56|43|54|64|,0|0|0|0|0|0|,1520|897|56|43|54|64|,0|0|0|0|0|0|,0|0|0|0|0|0|,1520|897|56|43|54|64|,0|0|0|0|0|0|,0|0|0|0|0|0|,1520|897|56|43|54|64|,760|45|2|2|2|57|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,760|852|54|41|52|7|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,760|852|54|41|52|7|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|760|852|54|41|59|,0|0|0|0|0|0|,8910|361|852|54|41|59|,0|0|0|0|0|0|,6895|289|684|45|34|48|,0|0|0|0|0|0|,0|0|0|0|0|0|,6895|289|684|45|34|48|,0|0|0|0|0|0|,0|0|0|0|0|0|,6761|276|669|45|32|48|,3403|11|36|4|1|43|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,3358|265|633|41|31|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3358|265|633|41|31|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3358|265|633|41|36|,0|0|0|0|0|0|,7070|2984|265|633|41|36|,0|0|0|0|0|0|,5160|2213|180|462|32|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,5160|2213|180|462|32|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,5000|2144|172|449|31|26|,2522|95|10|21|2|23|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,2478|2049|162|428|29|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2478|2049|162|428|29|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2478|2049|162|428|32|,0|0|0|0|0|0|,23520|2363|2049|162|428|32|,0|0|0|0|0|0|,7779|782|659|50|147|10|,0|0|0|0|0|0|,0|0|0|0|0|0|,7779|782|659|50|147|10|,0|0|0|0|0|0|,0|0|0|0|0|0|,6611|664|549|38|128|8|,3294|36|24|3|5|8|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,3317|628|525|35|123|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3317|628|525|35|123|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3317|628|525|35|123|,0|0|0|0|0|0|,10110|3278|628|525|35|123|,0|0|0|0|0|0|,5880|1871|379|291|19|75|,0|0|0|0|0|0|,0|0|0|0|0|0|,5880|1871|379|291|19|75|,0|0|0|0|0|0|,0|0|0|0|0|0|,5507|1770|356|274|19|74|,2822|105|18|19|1|64|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,2685|1665|338|255|18|10|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2685|1665|338|255|18|10|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2685|1665|338|255|28|,0|0|0|0|0|0|,18810|2682|1665|338|255|28|,0|0|0|0|0|0|,7152|1018|632|150|96|11|,0|0|0|0|0|0|,0|0|0|0|0|0|,7152|1018|632|150|96|11|,0|0|0|0|0|0|,0|0|0|0|0|0|,6292|910|570|130|89|8|,3132|41|30|4|4|8|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,3160|869|540|126|85|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3160|869|540|126|85|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3160|869|540|126|85|,0|0|0|0|0|0|,13740|3159|869|540|126|85|,0|0|0|0|0|0|,6430|1526|410|240|62|48|,0|0|0|0|0|0|,0|0|0|0|0|0|,6430|1526|410|240|62|48|,0|0|0|0|0|0|,0|0|0|0|0|0|,5875|1417|377|221|60|48|,2920|69|21|11|2|45|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,2955|1348|356|210|58|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2955|1348|356|210|58|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2955|1348|356|210|61|,0|0|0|0|0|0|,15660|2954|1348|356|210|61|,0|0|0|0|0|0|,6680|1288|567|157|91|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6680|1288|567|157|91|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6065|1168|512|148|82|23|,3041|62|24|8|5|21|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,3024|1106|488|140|77|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3024|1106|488|140|77|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3024|1106|488|140|79|,0|0|0|0|0|0|,14750|3024|1106|488|140|79|,0|0|0|0|0|0|,6595|1386|484|215|65|38|,0|0|0|0|0|0|,0|0|0|0|0|0|,6595|1386|484|215|65|38|,0|0|0|0|0|0|,0|0|0|0|0|0|,5998|1265|442|195|61|36|,2974|79|17|7|3|32|,0|0|0|0|0|0|
