PatchID,XCOORD,YCOORD,ID,MID,FID,sex,age,size,mature,newmature,layeggs,capture,recapture,infection,CDist,Hindex,Species,ClassFile,SubPatchID,L0A0,L0A1,L1A0,L1A1
1,43.908878,-122.157688,E1_F1_m1f13_P1_Y11_UO131,I1_F1_m1f5_P1_Y5_UO17,I13_F13_m-1f-1_P13_Y-1_U40,FXX,19,0.0,1,0,1.0,0,0,0,-9999.0,1.0,1,P0_CV0,1,2,0,2,0
1,43.908878,-122.157688,E1_F1_m1f13_P1_Y11_UO71,I1_F1_m1f11_P1_Y8_UO281,I13_F13_m-1f-1_P13_Y-1_U40,FXX,19,0.0,1,0,1.0,0,0,0,-9999.0,1.0,1,P0_CV0,1,2,0,1,1
1,43.908878,-122.157688,E1_F1_m1f13_P1_Y10_UO67,S1_F1_m1f1_P1_Y8_UO343,I13_F13_m-1f-1_P13_Y-1_U40,FXX,20,0.0,1,0,1.0,0,0,0,-9999.0,0.8125,1,P0_CV0,1,2,0,1,1
1,43.908878,-122.157688,E1_F1_m1f3_P1_Y6_UO108,S1_F1_m1f9_P1_Y4_UO261,I3_F3_m-1f-1_P3_Y-1_U232,FXX,24,0.0,1,0,1.0,0,0,0,-9999.0,0.8125,1,P0_CV0,1,2,0,1,1
1,43.908878,-122.157688,E1_F1_m1f13_P1_Y11_UO919,S1_F1_m1f9_P1_Y9_UO742,I13_F13_m-1f-1_P13_Y-1_U40,FXX,19,0.0,1,0,1.0,0,0,0,-9999.0,0.78125,1,P12_CV0,1,1,1,2,0
1,43.908878,-122.157688,E1_F1_m1f13_P1_Y11_UO402,S1_F1_m1f13_P1_Y9_UO801,I13_F13_m-1f-1_P13_Y-1_U40,FXX,19,0.0,1,0,1.0,0,0,0,-9999.0,0.9140625,1,P12_CV0,1,2,0,2,0
1,43.908878,-122.157688,E1_F1_m1f13_P1_Y11_UO816,S1_F1_m1f11_P1_Y9_UO866,I13_F13_m-1f-1_P13_Y-1_U40,FXX,19,0.0,1,0,1.0,0,0,0,-9999.0,0.796875,1,P5_CV0,1,2,0,0,2
1,43.908878,-122.157688,E1_F1_m1f9_P1_Y9_UO64,I1_F1_m1f11_P1_Y6_UO465,I9_F9_m-1f-1_P9_Y-1_U153,FXX,21,0.0,1,0,1.0,0,0,0,-9999.0,0.625,1,P8_CV0,1,2,0,1,1
2,44.137204,-122.472929,E2_F2_m2f13_P2_Y11_UO1194,I2_F2_m2f12_P2_Y8_UO1484,I13_F13_m-1f-1_P13_Y-1_U40,FXX,19,0.0,1,0,1.0,0,0,0,-9999.0,0.84375,1,P12_CV0,2,2,0,1,1
2,44.137204,-122.472929,E2_F2_m2f13_P2_Y11_UO1396,I2_F2_m2f12_P2_Y8_UO1665,I13_F13_m-1f-1_P13_Y-1_U40,FXX,19,0.0,1,0,1.0,0,0,0,-9999.0,0.84375,1,P12_CV0,2,2,0,1,1
