PatchID,XCOORD,YCOORD,ID,MID,FID,sex,age,size,mature,newmature,layeggs,capture,recapture,infection,CDist,Hindex,Species,ClassFile,SubPatchID,L0A0,L0A1,L1A0,L1A1
1,43.908878,-122.157688,I1_F1_m1f16_P1_Y6_UO292,I1_F1_m1f10_P1_Y1_UO143,I16_F16_m-1f-1_P16_Y-1_U347,FXX,9,0.0,1,0,1.0,0,0,0,-9999.0,0.625,1,P0_CV0,1,1,1,1,1
1,43.908878,-122.157688,I1_F1_m1f12_P1_Y6_UO409,S1_F1_m1f11_P1_Y4_UO1309,I12_F12_m-1f-1_P12_Y-1_U111,FXX,9,0.0,1,0,1.0,0,0,0,-9999.0,0.5625,1,P10_CV0,1,1,1,1,1
1,43.908878,-122.157688,I1_F1_m1f10_P1_Y4_UO1218,S1_F1_m1f5_P1_Y2_UO21,I10_F10_m-1f-1_P10_Y-1_U220,FXX,11,0.0,1,0,1.0,0,0,0,-9999.0,0.8125,1,P4_CV0,1,2,0,1,1
5,44.254,-122.236,I5_F5_m5f1_P5_Y6_UO2751,S5_F5_m5f8_P5_Y4_UO2825,I1_F1_m-1f-1_P1_Y-1_U138,FXX,9,0.0,1,0,1.0,0,0,0,-9999.0,0.625,1,P0_CV0,1,2,0,1,1
5,44.254,-122.236,I5_F5_m5f2_P5_Y6_UO2809,S5_F5_m5f1_P5_Y4_UO2870,I2_F2_m-1f-1_P2_Y-1_U374,FXX,9,0.0,1,0,1.0,0,0,0,-9999.0,0.8125,1,P1_CV0,1,1,1,1,1
6,43.987,-122.244,I6_F6_m6f16_P6_Y6_UO3194,I6_F6_m6f4_P6_Y2_UO2237,I16_F16_m-1f-1_P16_Y-1_U347,FXX,9,0.0,1,0,1.0,0,0,0,-9999.0,0.5,1,P3_CV0,1,2,0,1,1
7,45.07,-121.964,I7_F7_m7f2_P7_Y6_UO3765,I7_F7_m7f5_P7_Y2_UO2729,I2_F2_m-1f-1_P2_Y-1_U374,FXX,9,0.0,1,0,1.0,0,0,0,-9999.0,0.8125,1,P1_CV0,1,2,0,1,1
8,44.087,-122.081,I8_F8_m8f2_P8_Y6_UO4171,I8_F8_m8f2_P8_Y2_UO3293,I2_F2_m-1f-1_P2_Y-1_U374,FXX,9,0.0,1,0,1.0,0,0,0,-9999.0,0.8125,1,P1_CV0,1,2,0,2,0
8,44.087,-122.081,I8_F8_m8f11_P8_Y4_UO4235,I8_F8_m8f6_P8_Y0_UO2857,I11_F11_m-1f-1_P11_Y-1_U47,FXX,11,0.0,1,0,1.0,0,0,0,-9999.0,0.625,1,P7_CV0,1,1,1,2,0
9,44.232,-122.202,I9_F9_m9f12_P9_Y6_UO4371,S9_F9_m9f14_P9_Y4_UO4420,I12_F12_m-1f-1_P12_Y-1_U111,FXX,9,0.0,1,0,1.0,0,0,0,-9999.0,0.625,1,P11_CV0,1,1,1,1,1
9,44.232,-122.202,I9_F9_m9f16_P9_Y5_UO3620,S9_F9_m9f8_P9_Y3_UO3224,I16_F16_m-1f-1_P16_Y-1_U347,FXX,10,0.0,1,0,1.0,0,0,0,-9999.0,0.5,1,P15_CV0,1,2,0,2,0
10,44.097,-122.493,I10_F10_m10f2_P10_Y6_UO4714,S10_F10_m10f12_P10_Y4_UO4825,I2_F2_m-1f-1_P2_Y-1_U374,FXX,9,0.0,1,0,1.0,0,0,0,-9999.0,0.8125,1,P11_CV0,2,2,0,1,1
12,43.456,-122.761,I12_F12_m12f12_P12_Y6_UO5841,S12_F12_m12f8_P12_Y4_UO5913,I12_F12_m-1f-1_P12_Y-1_U111,FXX,9,0.0,1,0,1.0,0,0,0,-9999.0,0.6875,1,P11_CV0,1,1,1,1,1
12,43.456,-122.761,I12_F12_m12f15_P12_Y6_UO5639,S12_F12_m12f1_P12_Y4_UO5731,I15_F15_m-1f-1_P15_Y-1_U353,FXX,9,0.0,1,0,1.0,0,0,0,-9999.0,0.8125,1,P12_CV0,1,2,0,2,0
14,44.246,-122.307,I14_F14_m14f12_P14_Y6_UO6741,S14_F14_m14f9_P14_Y4_UO6849,I12_F12_m-1f-1_P12_Y-1_U111,FXX,9,0.0,1,0,1.0,0,0,0,-9999.0,0.5625,1,P11_CV0,1,2,0,0,2
14,44.246,-122.307,I14_F14_m14f16_P14_Y6_UO6452,S14_F14_m14f4_P14_Y4_UO6666,I16_F16_m-1f-1_P16_Y-1_U347,FXX,9,0.0,1,0,1.0,0,0,0,-9999.0,0.5,1,P13_CV0,1,1,1,0,2
15,44.222,-122.117,I15_F15_m15f1_P15_Y6_UO6780,S15_F15_m15f11_P15_Y4_UO7102,I1_F1_m-1f-1_P1_Y-1_U138,FXX,9,0.0,1,0,1.0,0,0,0,-9999.0,0.4375,1,P10_CV0,1,1,1,0,2
15,44.222,-122.117,I15_F15_m15f15_P15_Y6_UO6864,S15_F15_m15f14_P15_Y4_UO7096,I15_F15_m-1f-1_P15_Y-1_U353,FXX,9,0.0,1,0,1.0,0,0,0,-9999.0,0.875,1,P14_CV0,1,1,1,0,2
16,43.3976969,-122.6662045,I16_F16_m16f12_P16_Y6_UO7414,S16_F16_m16f3_P16_Y4_UO7581,I12_F12_m-1f-1_P12_Y-1_U111,FXX,9,0.0,1,0,1.0,0,0,0,-9999.0,0.625,1,P3_CV0,1,2,0,0,2
16,43.3976969,-122.6662045,I16_F16_m16f15_P16_Y6_UO7522,S16_F16_m16f8_P16_Y4_UO7669,I15_F15_m-1f-1_P15_Y-1_U353,FXX,9,0.0,1,0,1.0,0,0,0,-9999.0,0.75,1,P7_CV0,1,2,0,1,1
