Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,302|1591|1550|1448|1550|1559|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,302|1591|1550|1448|1550|1559|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|302|1591|1550|1448|3109|,0|0|0|0|0|0|,77460|205|1106|1070|1008|2172|,0|0|0|0|0|0|,7473|23|101|118|101|200|,0|0|0|0|0|0|,0|0|0|0|0|0|,7473|23|101|118|101|200|,0|0|0|0|0|0|,0|0|0|0|0|0|,7457|23|100|117|101|200|,3726|1|6|6|7|9|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,3731|22|94|111|94|191|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3731|22|94|111|94|191|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3731|22|94|111|285|,0|0|0|0|0|0|,4960|2595|22|94|111|285|,0|0|0|0|0|0|,4398|2343|18|85|99|245|,0|0|0|0|0|0|,0|0|0|0|0|0|,4398|2343|18|85|99|245|,0|0|0|0|0|0|,0|0|0|0|0|0|,4357|2327|18|84|99|243|,2201|119|1|2|3|11|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,2156|2208|17|82|96|232|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2156|2208|17|82|96|232|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2156|2208|17|82|328|,0|0|0|0|0|0|,48340|1940|2208|17|82|328|,0|0|0|0|0|0|,10009|398|455|4|19|66|,0|0|0|0|0|0|,0|0|0|0|0|0|,10009|398|455|4|19|66|,0|0|0|0|0|0|,0|0|0|0|0|0|,7254|280|331|2|15|51|,3564|14|12|0|1|2|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,3690|266|319|2|14|49|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3690|266|319|2|14|49|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3690|266|319|2|63|,0|0|0|0|0|0|,12360|3268|266|319|2|63|,0|0|0|0|0|0|,6651|1693|128|176|1|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,6651|1693|128|176|1|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,6110|1572|112|167|1|33|,3017|71|7|9|0|0|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,3093|1501|105|158|1|33|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3093|1501|105|158|1|33|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3093|1501|105|158|34|,0|0|0|0|0|0|,35600|2797|1501|105|158|34|,0|0|0|0|0|0|,8741|722|376|23|29|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,8741|722|376|23|29|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,7059|572|303|17|23|7|,3598|24|20|0|2|2|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,3461|548|283|17|21|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3461|548|283|17|21|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3461|548|283|17|26|,0|0|0|0|0|0|,17440|3193|548|283|17|26|,0|0|0|0|0|0|,7155|1342|227|113|9|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,7155|1342|227|113|9|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,6454|1213|199|107|7|4|,3279|52|9|10|1|0|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,3175|1161|190|97|6|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3175|1161|190|97|6|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3175|1161|190|97|10|,0|0|0|0|0|0|,29140|2905|1161|190|97|10|,0|0|0|0|0|0|,8041|838|293|52|29|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,8041|838|293|52|29|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,6942|702|256|46|24|2|,3521|32|14|1|1|0|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,3421|670|242|45|23|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3421|670|242|45|23|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3421|670|242|45|25|,0|0|0|0|0|0|,0|3421|670|242|45|25|,0|0|0|0|0|0|,0|3421|670|242|45|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|3421|670|242|45|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|3421|670|242|45|25|,0|188|34|14|3|3|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,0|3233|636|228|42|22|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|3233|636|228|42|22|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|3233|636|228|64|,0|0|0|0|0|0|,0|0|3233|636|228|64|,0|0|0|0|0|0|,0|0|3233|636|228|64|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|3233|636|228|64|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|3233|636|228|64|,0|0|154|29|11|2|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,0|0|3079|607|217|62|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|3079|607|217|62|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|3079|607|279|,0|0|0|0|0|0|,0|0|0|3079|607|279|,0|0|0|0|0|0|,0|0|0|3079|607|279|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|3079|607|279|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|3079|607|279|,0|0|0|151|23|7|,0|0|0|0|0|0|
