Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,1287|1292|1382|1372|1352|1315|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1287|1292|1382|1372|1352|1315|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1287|1292|1382|1372|2667|,0|0|0|0|0|0|,46570|909|923|979|988|1909|,0|0|0|0|0|0|,7126|152|143|142|144|290|,0|0|0|0|0|0|,0|0|0|0|0|0|,7126|152|143|142|144|290|,0|0|0|0|0|0|,0|0|0|0|0|0|,6774|141|138|134|141|272|,3241|9|6|3|9|245|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,3533|132|132|131|132|27|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3533|132|132|131|132|27|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3533|132|132|131|159|,0|0|0|0|0|0|,4080|2520|117|124|118|149|,0|0|0|0|0|0|,3809|2414|113|117|113|141|,0|0|0|0|0|0|,0|0|0|0|0|0|,3809|2414|113|117|113|141|,0|0|0|0|0|0|,0|0|0|0|0|0|,3809|2414|113|117|113|141|,1862|124|7|3|8|124|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,1947|2290|106|114|105|17|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1947|2290|106|114|105|17|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1947|2290|106|114|122|,0|0|0|0|0|0|,24070|1544|2131|98|112|115|,0|0|0|0|0|0|,8265|484|730|27|32|43|,0|0|0|0|0|0|,0|0|0|0|0|0|,8265|484|730|27|32|43|,0|0|0|0|0|0|,0|0|0|0|0|0|,6597|386|573|22|23|34|,3294|21|33|2|1|33|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,3303|365|540|20|22|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3303|365|540|20|22|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3303|365|540|20|23|,0|0|0|0|0|0|,7140|2766|337|511|17|19|,0|0|0|0|0|0|,5099|1997|236|374|13|10|,0|0|0|0|0|0|,0|0|0|0|0|0|,5099|1997|236|374|13|10|,0|0|0|0|0|0|,0|0|0|0|0|0|,4882|1909|228|349|13|9|,2443|90|17|7|0|9|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,2439|1819|211|342|13|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2439|1819|211|342|13|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2439|1819|211|342|13|,0|0|0|0|0|0|,21400|2061|1707|195|333|12|,0|0|0|0|0|0|,7823|718|587|80|124|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,7823|718|587|80|124|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,6452|593|474|65|103|4|,3273|23|22|4|3|4|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,3179|570|452|61|100|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3179|570|452|61|100|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3179|570|452|61|100|,0|0|0|0|0|0|,9020|2767|535|429|61|95|,0|0|0|0|0|0|,5516|1693|307|259|37|59|,0|0|0|0|0|0|,0|0|0|0|0|0|,5516|1693|307|259|37|59|,0|0|0|0|0|0|,0|0|0|0|0|0|,5189|1583|286|248|36|56|,2546|70|19|16|1|47|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,2643|1513|267|232|35|9|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2643|1513|267|232|35|9|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2643|1513|267|232|44|,0|0|0|0|0|0|,17840|2333|1431|254|221|43|,0|0|0|0|0|0|,7121|860|551|95|81|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,7121|860|551|95|81|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,6249|745|482|85|69|15|,3052|40|14|4|3|14|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,3197|705|468|81|66|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3197|705|468|81|66|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3197|705|468|81|67|,0|0|0|0|0|0|,10690|2833|664|444|78|62|,0|0|0|0|0|0|,5861|1529|359|241|44|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,5861|1529|359|241|44|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,5413|1434|334|223|40|30|,2744|63|19|7|3|29|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,2669|1371|315|216|37|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2669|1371|315|216|37|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2669|1371|315|216|38|,0|0|0|0|0|0|,15770|2425|1284|301|204|37|,0|0|0|0|0|0|,6987|1024|538|120|82|14|,0|0|0|0|0|0|,0|0|0|0|0|0|,6987|1024|538|120|82|14|,0|0|0|0|0|0|,0|0|0|0|0|0|,6093|883|472|98|71|12|,3062|43|30|3|0|11|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,3031|840|442|95|71|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3031|840|442|95|71|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3031|840|442|95|72|,0|0|0|0|0|0|,11850|2714|792|424|90|68|,0|0|0|0|0|0|,6229|1410|425|213|40|33|,0|0|0|0|0|0|,0|0|0|0|0|0|,6229|1410|425|213|40|33|,0|0|0|0|0|0|,0|0|0|0|0|0|,5636|1261|385|194|38|31|,2839|62|26|9|1|29|,0|0|0|0|0|0|
10,0|1|2|3|4|5|,2797|1199|359|185|37|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2797|1199|359|185|37|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2797|1199|359|185|39|,0|0|0|0|0|0|,15130|2559|1129|343|180|38|,0|0|0|0|0|0|,6847|1134|475|150|87|22|,0|0|0|0|0|0|,0|0|0|0|0|0|,6847|1134|475|150|87|22|,0|0|0|0|0|0|,0|0|0|0|0|0|,5989|993|418|131|77|22|,2998|55|19|13|5|20|,0|0|0|0|0|0|
